,sensor [Auto],,,,,
,Oxygen,Pressure,Temperature,Humidity,ppO2,
04/23/23 11:00:45.094,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:47.103,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:49.132,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:51.111,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:53.140,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:55.159,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:57.207,"30360","101","19.7","43.6","35.1",
04/23/23 11:00:59.316,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:01.425,"30360","101","19.7","43.6","35.1",
04/23/23 11:01:03.504,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:05.573,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:07.542,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:09.641,"30360","101","19.7","43.6","35.1",
04/23/23 11:01:11.700,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:13.839,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:15.948,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:17.996,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:20.035,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:22.064,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:24.123,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:26.202,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:28.291,"30360","101","19.7","43.6","35.2",
04/23/23 11:01:30.300,"30360","101","19.7","43.6","35.2",
