XY
	CURVE1 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]
3.628e-001	3.581e-005		
3.668e-001	3.492e-005		
3.708e-001	3.494e-005		
3.748e-001	3.480e-005		
3.789e-001	3.407e-005		
3.829e-001	3.447e-005		
3.868e-001	3.358e-005		
3.908e-001	3.363e-005		
3.948e-001	3.378e-005		
3.988e-001	3.341e-005		
4.028e-001	3.351e-005		
4.068e-001	3.257e-005		
4.108e-001	3.247e-005		
4.148e-001	3.232e-005		
4.188e-001	3.161e-005		
4.228e-001	3.198e-005		
4.268e-001	3.111e-005		
4.308e-001	3.115e-005		
4.348e-001	3.103e-005		
4.388e-001	3.031e-005		
4.428e-001	3.071e-005		
4.468e-001	2.985e-005		
4.508e-001	2.992e-005		
4.548e-001	2.976e-005		
4.588e-001	2.905e-005		
4.627e-001	2.946e-005		
4.668e-001	2.859e-005		
4.708e-001	2.863e-005		
4.747e-001	2.854e-005		
4.788e-001	2.787e-005		
4.828e-001	2.828e-005		
4.867e-001	2.739e-005		
4.907e-001	2.743e-005		
4.947e-001	2.727e-005		
4.988e-001	2.658e-005		
			
